date,donor_id,amount,category
2024-01-01,138,217.46672554612113,Recurring
2024-01-03,128,203.49194390602915,One-time
2024-01-05,114,153.80920561183868,Recurring
2024-01-07,142,16.899113130391385,One-time
2024-01-09,107,107.43277800351453,Recurring
2024-01-11,120,358.5575568468385,One-time
2024-01-13,138,397.18601486029075,One-time
2024-01-15,118,306.9203876426956,One-time
2024-01-17,122,463.887430471541,Recurring
2024-01-19,110,329.0277424959528,Recurring
2024-01-21,110,458.3302410164526,One-time
2024-01-23,123,426.5189031170017,Recurring
2024-01-25,135,230.23083032771967,One-time
2024-01-27,139,56.750957080301546,One-time
2024-01-29,123,191.70094357715053,Recurring
2024-01-31,102,337.7322138051676,Recurring
2024-02-02,121,336.30195474257334,One-time
2024-02-04,101,299.7359159767863,Recurring
2024-02-06,123,144.61367856513144,Recurring
2024-02-08,143,285.0092786653736,One-time
2024-02-10,129,197.63416862935702,One-time
2024-02-12,137,486.13892674066085,Recurring
2024-02-14,101,425.96777389038107,One-time
2024-02-16,120,363.64746537078787,One-time
2024-02-18,132,125.63261067698832,Recurring
2024-02-20,111,135.47347815304875,One-time
2024-02-22,121,29.81245887383136,One-time
2024-02-24,143,358.22481594603585,Recurring
2024-02-26,124,64.33650219779734,Recurring
2024-02-28,148,225.27488591422735,One-time
2024-03-01,126,108.84240914434413,One-time
2024-03-03,141,448.9241618800245,Recurring
2024-03-05,127,242.93140935923475,Recurring
2024-03-07,115,286.005030268428,Recurring
2024-03-09,114,350.8028823488025,Recurring
2024-03-11,146,78.27241265887909,One-time
2024-03-13,143,306.1645158461304,Recurring
2024-03-15,102,274.52213473781984,Recurring
2024-03-17,136,109.500000120037,One-time
2024-03-19,106,471.9982495734107,Recurring
2024-03-21,120,303.4440785793826,One-time
2024-03-23,108,350.44461718945524,Recurring
2024-03-25,138,441.4292411174763,Recurring
2024-03-27,117,315.9334835855587,Recurring
2024-03-29,103,154.86050606047985,One-time
2024-03-31,124,61.6921873168326,One-time
2024-04-02,113,233.701939536626,Recurring
2024-04-04,149,117.03581423624846,One-time
2024-04-06,108,214.08987445647944,One-time
2024-04-08,125,442.80732687024545,One-time
2024-04-10,101,168.92906029258424,One-time
2024-04-12,119,69.82309780332994,One-time
2024-04-14,127,184.5859406577177,One-time
2024-04-16,146,454.3459363574195,Recurring
2024-04-18,106,143.3448021984713,Recurring
2024-04-20,143,327.36815906526755,One-time
2024-04-22,107,10.254984727704752,Recurring
2024-04-24,146,182.7587396037428,Recurring
2024-04-26,134,159.34281649743423,Recurring
2024-04-28,113,90.68136804004145,Recurring
2024-04-30,116,271.70381549396654,One-time
2024-05-02,135,247.56668596590177,Recurring
2024-05-04,149,349.29365611623246,Recurring
2024-05-06,139,142.01204356127553,One-time
2024-05-08,103,129.62150590140934,One-time
2024-05-10,101,92.46261066473598,Recurring
2024-05-12,105,117.19446759080442,Recurring
2024-05-14,141,283.4699809884972,Recurring
2024-05-16,103,207.87972381844,Recurring
2024-05-18,128,41.797201083400964,Recurring
2024-05-20,117,134.4185528278289,Recurring
2024-05-22,125,130.96927079091458,One-time
2024-05-24,143,351.1890936914963,Recurring
2024-05-26,133,359.0125890629766,Recurring
2024-05-28,109,82.56259567716594,One-time
2024-05-30,135,498.8928376739815,One-time
2024-06-01,113,140.72269699488965,One-time
2024-06-03,130,488.54132835799993,One-time
2024-06-05,147,211.40813652593332,Recurring
2024-06-07,114,26.19485912126871,Recurring
2024-06-09,107,179.08491153307466,Recurring
2024-06-11,113,320.83215890366824,Recurring
2024-06-13,122,343.5456712618357,Recurring
2024-06-15,139,270.15794582539684,Recurring
2024-06-17,120,229.4137506408149,One-time
2024-06-19,115,280.9176136449507,Recurring
2024-06-21,144,300.42139470090285,One-time
2024-06-23,117,49.61812990303047,One-time
2024-06-25,146,191.13068347008817,Recurring
2024-06-27,123,128.65836975593868,One-time
2024-06-29,125,403.53848062614895,Recurring
2024-07-01,124,240.44731087855882,One-time
2024-07-03,144,491.87733903847305,Recurring
2024-07-05,140,205.423976797831,One-time
2024-07-07,128,410.05161787749813,Recurring
2024-07-09,114,401.18911124243004,Recurring
2024-07-11,144,83.85159654306044,Recurring
2024-07-13,100,259.01740060295214,Recurring
2024-07-15,124,350.9482753275321,Recurring
2024-07-17,106,430.59581435872275,One-time
